name,RA,Dec,Distance,r_1/2,Mv,log10_J,J_sigma,Method,name_pub,abbrv
Antlia_2,143.89,-36.77,132,2301,-9.03,16.5,0.6,K,Antlia II,Ant II
Aquarius_2,338.48,-9.33,108,125,-4.4,17.8,0.55,M,Aquarius II,Aqr II
Bootes_1,210.02,14.51,66,160,-6.02,18.17000008,0.3,M,"Bo\""{o}tes I",Boo I
Bootes_2,209.51,12.86,42,39,-2.94,18.3,0.95,M,"Bo\""{o}tes II",Boo II
Bootes_3,209.3,26.8,47,289,-5.75,18.64999962,0.6,P,"Bo\""{o}tes III",Boo III
Canes_V1,202.01,33.55,218,338,-8.8,17.42000008,0.16,M,Canes Venatici I,CVn I
Canes_V2,194.29,34.32,160,55,-5.17,17.81999969,0.47,M,Canes Venatici II,CVn II
Carina,100.41,-50.96,105,248,-9.43,17.82999992,0.095,M,Carina,Car
Carina_2,114.11,-58,36,77,-4.5,18.25,0.545,M,Carina II,Car II
Carina_3,114.63,-57.9,28,30,-2.4,19.70000076,0.6,K,Carina III,Car III
Berenices,186.75,23.91,44,57,-4.38,19,0.355,M,Coma Berenices,Com
Crater_2,177.31,-18.41,117.5,1066,-8.2,15.35,0.26,M,Crater II,Crt II
Draco,260.07,57.92,76,180,-8.71,18.82999992,0.12,M,Draco,Dra
Eridanus_2,56.09,-43.53,380,158,-7.21,16.6,0.9,M,Eridanus II,Eri II
Fornax,39.96,-34.5,147,707,-13.46,18.09000015,0.1,M,Fornax,For
Hercules,247.77,12.79,132,120,-5.83,17.37000084,0.53,M,Hercules,Her
Horologium_1,43.88,-54.12,79,31,-3.55,19,0.8075,M,Horologium I,Hor I
Hydrus_1,37.39,-79.31,28,53,-4.71,18.33,0.36,M,Hydrus I,Hyi I
Leo_1,152.11,12.31,254,226,-11.78,17.63999939,0.13,M,Leo I,Leo I
Leo_2,168.36,22.15,233,165,-9.74,17.76000023,0.2,M,Leo II,Leo II
Leo_4,173.24,-0.55,154,104,-4.99,16.39999962,1.08,M,Leo IV,Leo IV
Leo_5,172.79,2.22,178,39,-4.4,17.64999962,0.97,M,Leo V,Leo V
Pegasus_3,336.1,5.41,215,42,-3.4,18.29999924,0.93,M,Pegasus III,Peg III
Phoenix_2,355,-54.41,83,21,-3.3,18.29999924,0.6,P,Phoenix II,Phe II
Pisces_2,344.63,5.95,182,48,-4.22,17.29999924,1.045,M,Pisces II,Psc II
Reticulum_2,53.92,-54.05,30,31,-3.88,18.89999962,0.38,M,Reticulum II,Ret II
Sagittarius,283.83,-30.55,26.7,2662,-13.5,19.6,0.2,M,Sagittarius,Sgr
Sagittarius_2,298.16,-22.07,69,32,-5.2,17.35,1.36,M,Sagittarius II,Sgr II
Sculptor,15.02,-33.72,84,223,-10.82,18.57999992,0.05,M,Sculptor,Scl
Segue_1,151.75,16.08,23,20,-1.3,19.12000084,0.535,M,Segue 1,Segue 1
Sextans,153.26,-1.61,86,345,-8.72,17.72999954,0.125,M,Sextans,Sex
Tucana_2,342.98,-58.57,58,165,-3.8,18.96999931,0.545,M,Tucana II,Tuc II
Tucana_4,0.73,-60.85,48,128,-3.5,18.4,0.55,M,Tucana IV,Tuc IV
Ursa_Major_1,158.77,51.95,97,151,-5.12,18.26000023,0.28,M,Ursa Major I,UMa I
Ursa_Major_2,132.87,63.13,32,85,-4.25,19.44000053,0.4,M,Ursa Major II,UMa II
Ursa_Minor,227.24,67.22,76,272,-9.03,18.75,0.12,M,Ursa Minor,UMi
Willman_1,162.34,51.05,38,20,-2.53,19.53000069,0.5,M,Willman I,Wil 1
Bootes_4,233.69,43.73,209,277,-4.53,17.25,0.6,P,"Bo\""{o}tes IV",Boo IV
Centaurus_1,189.59,-40.9,116,76,-5.55,18.13999939,0.6,P,Centaurus I,Cen I
Cetus_2,19.47,-17.42,30,17,0,19.10000038,0.6,P,Cetus II,Cet II
Cetus_3,31.33,-4.27,251,44,-2.5,17.29999924,0.6,P,Cetus III,Cet III
Columba_1,82.86,-28.01,183,98,-4.2,17.60000038,0.6,P,Columba I,Col I
Draco_2,238.17,64.58,22,17,-0.8,18.93000031,1.545,M,Draco II,Dra II
Grus_1,344.18,-50.18,120,21,-3.47,16.5,0.8,M,Grus I,Gru I
Grus_2,331.02,-46.44,53,92,-3.9,18.39999962,0.6,P,Grus II,Gru II
Horologium_2,49.11,-50.05,78,33,-2.6,18.39999962,0.6,P,Horologium II,Hor II
Hydra_2,185.43,-31.99,151,58,-4.6,17.87999916,0.6,P,Hydra II,Hya II
Pictor_1,70.95,-50.29,114,18,-3.45,18,0.6,P,Pictor I,Pic I
Pictor_2,101.18,-59.9,46,47,-3.2,18.82999992,0.6,P,Pictor II,Pic II
Reticulum_3,56.36,-60.45,92,64,-3.3,18.20000076,0.6,P,Reticulum III,Ret III
Segue_2,34.82,20.16,35,34,-1.86,19.01000023,0.6,P,Segue 2,Segue 2
Triangulum_2,33.33,36.17,30,13,-1.6,19.32999992,0.6,P,Triangulum II,Tri II
Tucana_3,359.15,-59.6,25,44,-2.4,19.29999924,0.6,P,Tucana III,Tuc III
Tucana_5,354.35,-63.27,55,16,-1.6,18.89999962,0.6,P,Tucana V,Tuc V
Virgo_1,180.04,-0.68,91,30,-0.33,18.10000038,0.6,P,Virgo I,Vir I
