Name,RA,Dec,Distance,r_1/2,Mv,log10_J,J_sigma,subsample
Aquarius_II,338.48,-9.33,108.0,125,-4.4,17.8,0.55,Measured
Bootes_II,209.51,12.86,42.0,39,-2.94,18.3,0.95,Measured
Canes_Venatici_I,202.01,33.55,218.0,338,-8.8,17.42,0.16,Measured
Canes_Venatici_II,194.29,34.32,160.0,55,-5.17,17.82,0.47,Measured
Carina,100.41,-50.96,105.0,248,-9.43,17.83,0.1,Measured
Carina_II,114.11,-58.0,36.0,77,-4.5,18.25,0.55,Measured
Coma_Berenices,186.75,23.91,44.0,57,-4.38,19.0,0.35,Measured
Draco,260.07,57.92,76.0,180,-8.71,18.83,0.12,Measured
Draco_II,238.17,64.58,22.0,17,-0.8,18.93,1.54,Measured
Eridanus_II,56.09,-43.53,380.0,158,-7.21,16.6,0.9,Measured
Fornax,39.96,-34.5,147.0,707,-13.46,18.09,0.1,Measured
Grus_I,344.18,-50.18,120.0,21,-3.47,16.5,0.8,Measured
Hercules,247.77,12.79,132.0,120,-5.83,17.37,0.53,Measured
Horologium_I,43.88,-54.12,79.0,31,-3.55,19.0,0.81,Measured
Hydrus_I,37.39,-79.31,28.0,53,-4.71,18.33,0.36,Measured
Leo_I,152.11,12.31,254.0,226,-11.78,17.64,0.13,Measured
Leo_II,168.36,22.15,233.0,165,-9.74,17.76,0.2,Measured
Leo_IV,173.24,-0.55,154.0,104,-4.99,16.4,1.08,Measured
Leo_V,172.79,2.22,178.0,39,-4.4,17.65,0.97,Measured
Pegasus_III,336.1,5.41,215.0,42,-3.4,18.3,0.93,Measured
Pisces_II,344.63,5.95,182.0,48,-4.22,17.3,1.04,Measured
Reticulum_II,53.92,-54.05,30.0,31,-3.88,18.9,0.38,Measured
Sagittarius_II,298.16,-22.07,69.0,32,-5.2,17.35,1.36,Measured
Segue_1,151.75,16.08,23.0,20,-1.3,19.12,0.53,Measured
Sextans,153.26,-1.61,86.0,345,-8.72,17.73,0.12,Measured
Tucana_II,342.98,-58.57,58.0,165,-3.8,18.97,0.54,Measured
Tucana_IV,0.73,-60.85,48.0,128,-3.5,18.4,0.55,Measured
Ursa_Major_I,158.77,51.95,97.0,151,-5.12,18.26,0.28,Measured
Ursa_Major_II,132.87,63.13,32.0,85,-4.25,19.44,0.4,Measured
Ursa_Minor,227.24,67.22,76.0,272,-9.03,18.75,0.12,Measured
Bootes_IV,233.69,43.73,209.0,277,-4.53,17.25,0.6,Benchmark
Carina_III,114.63,-57.9,28.0,30,-2.4,19.7,0.6,Benchmark
Centaurus_I,189.59,-40.9,116.0,76,-5.55,18.14,0.6,Benchmark
Cetus_II,19.47,-17.42,30.0,17,0.0,19.1,0.6,Benchmark
Cetus_III,31.33,-4.27,251.0,44,-2.5,17.3,0.6,Benchmark
Columba_I,82.86,-28.01,183.0,98,-4.2,17.6,0.6,Benchmark
Grus_II,331.02,-46.44,53.0,92,-3.9,18.4,0.6,Benchmark
Phoenix_II,355.0,-54.41,83.0,21,-3.3,18.3,0.6,Benchmark
Pictor_I,70.95,-50.29,114.0,18,-3.45,18.0,0.6,Benchmark
Pictor_II,101.18,-59.9,46.0,47,-3.2,18.83,0.6,Benchmark
Reticulum_III,56.36,-60.45,92.0,64,-3.3,18.2,0.6,Benchmark
Tucana_V,354.35,-63.27,55.0,16,-1.6,18.9,0.6,Benchmark
Antlia_II,143.89,-36.77,132.0,2301,-9.03,16.5,0.6,Inclusive
Bootes_I,210.02,14.51,66.0,160,-6.02,18.17,0.3,Inclusive
Bootes_III,209.3,26.8,47.0,289,-5.75,18.65,0.6,Inclusive
Crater_II,177.31,-18.41,117.5,1066,-8.2,15.35,0.26,Inclusive
Horologium_II,49.11,-50.05,78.0,33,-2.6,18.4,0.6,Inclusive
Sagittarius,283.83,-30.55,26.7,1565,-13.5,19.6,0.2,Inclusive
Virgo_I,180.04,-0.68,91.0,30,-0.33,18.1,0.6,Inclusive
Willman_1,162.34,51.05,38.0,20,-2.53,19.53,0.5,Inclusive
