Name,RA,Dec,Dist,M_V,R_eff_kpc,Type,vhel,vhelerr,resolve,sigma,serr_low,serr_up,serr_95
Aqr3,357.22,-3.49,85.50667128846841,-2.5,0.05164822195714657,G,-13.201,1.01,0,-999.0,-999.0,-999.0,3.613
Boo1,210.0200348,14.5135002,66.37430704019089,-6.02,0.19223580162039558,G,101.867,0.479,1,3.205,0.44799999999999995,0.4929999999999999,-999.0
Boo2,209.5141296,12.855278,41.68693834703355,-2.9400000000000013,0.0382529340914957,G,-128.394,0.724,1,1.96,0.619,0.7770000000000001,-999.0
Boo3,209.3,26.8,46.55860935229591,-5.74,0.5480546303160814,G,190.022,1.848,1,5.242,1.7040000000000002,2.138,-999.0
CB,186.7454224,23.9069176,42.26686142656025,-4.289999999999999,0.06914340712657881,G,93.545,0.632,1,3.337,0.4530000000000003,0.5519999999999996,-999.0
CVn1,202.009079,33.5520821,210.86281499332887,-8.73,0.43616579893501095,G,30.516,0.546,1,7.65,0.41300000000000026,0.45199999999999996,-999.0
CVn2,194.2926636,34.3226395,159.9558028614668,-5.17,0.07032695013943979,G,-131.807,1.231,1,5.233,0.9609999999999994,1.194,-999.0
Col1,82.85696,-28.04253,182.8100216142741,-4.199999999999999,0.11647924809512332,G,149.024,2.187,1,5.761,1.6669999999999998,2.406999999999999,-999.0
Dra,260.0684509,57.9184723,81.54550000611157,-8.866999999999999,0.22923610157410904,G,-292.229,0.328,1,9.621,0.2270000000000003,0.25099999999999945,-999.0
Dra2,238.2,64.57,21.57744409152669,-0.8000000000000025,0.01869683367927167,G,-342.282,0.704,0,-999.0,-999.0,-999.0,2.661
Eri,66.18533,-21.1875553,84.68373413222396,-5.418999999999999,0.015722262406095255,GC,-18.385,0.291,0,-999.0,-999.0,-999.0,0.881
Eri4,76.438,-9.515,69.82324040771705,-3.549999999999999,0.06532974754512384,G,-34.348,1.254,1,4.507,0.8729999999999998,1.1720000000000006,-999.0
For,39.9583359,-34.4997215,142.5607593602188,-13.393,0.8251639331623785,G,53.904,0.459,1,11.743,0.32399999999999984,0.32699999999999996,-999.0
Herc,247.7722015,12.7851944,130.61708881318404,-5.806999999999999,0.21309214717161068,G,43.301,1.026,1,5.968,0.8709999999999996,0.9779999999999998,-999.0
Hyd2,185.4251251,-31.9860287,151.35612484362073,-5.099999999999998,0.06637733727647435,G,304.731,1.009,0,-999.0,-999.0,-999.0,4.156
K2,119.5714951,26.2573981,34.673685045253166,-0.9199999999999982,0.004423300672087354,U,108.236,1.29,0,-999.0,-999.0,-999.0,5.14
Leo1,152.1145782,12.3059168,258.22601906345955,-11.819999999999999,0.2740226763693318,G,285.86,0.362,1,9.301,0.26699999999999946,0.27699999999999925,-999.0
Leo2,168.3626556,22.1528606,208.9296130854041,-9.480000000000002,0.15300242756072158,G,78.81,0.511,1,7.519,0.33999999999999986,0.3979999999999997,-999.0
Leo4,173.240509,-0.543056,151.35612484362073,-4.949999999999999,0.11136581809138209,G,129.757,0.953,1,3.297,0.6760000000000002,0.8539999999999996,-999.0
Leo5,172.785675,2.219389,169.04409316432634,-4.400000000000002,0.048659517904327675,G,170.413,1.513,1,3.466,1.0330000000000004,1.54,-999.0
Leo6,171.073,24.87,111.1731727281592,-3.5599999999999987,0.13345422667484969,G,169.986,1.791,1,3.751,1.3489999999999998,2.0500000000000003,-999.0
LeoT,143.7291718,17.0482216,413.04750199016104,-7.979999999999999,0.16603052297638846,G,36.077,1.228,1,6.769,0.9630000000000001,1.112,-999.0
N1904,81.04958,-24.52472,13.079766770089323,-7.673,0.0025872299493513652,GC,206.383,0.32,1,4.271,0.23599999999999977,0.25400000000000045,-999.0
N2419,114.5354156,38.8818626,88.47080928705319,-9.384000000000002,0.021853610756373043,GC,-20.562,0.331,1,4.153,0.24299999999999944,0.26500000000000057,-999.0
N288,13.197706,-26.589901,8.986694950475266,-6.758000000000001,0.00582949561901095,GC,-43.402,0.17,1,3.375,0.1419999999999999,0.14100000000000001,-999.0
N4590,189.8667,-26.743039,10.403991770513517,-7.246,0.0044488058377734506,GC,-93.539,0.25,1,2.894,0.17799999999999994,0.20699999999999985,-999.0
N5024,198.23013,18.1691,18.501204347718588,-8.695999999999998,0.006458138629039584,GC,-63.937,0.545,1,4.183,0.4099999999999997,0.4500000000000002,-999.0
N5053,199.1124,17.6977,17.5388050184176,-6.329999999999998,0.012397450724686019,GC,42.463,0.178,0,-999.0,-999.0,-999.0,1.254
N5272,205.54677,28.37545,10.176536626205333,-8.678,0.0034042696860606715,GC,-148.008,0.274,1,3.237,0.2110000000000003,0.21999999999999975,-999.0
N5634,217.405335,-5.97643,25.95374300988093,-7.711000000000002,0.004605279065512002,GC,-17.871,0.362,1,2.855,0.2650000000000001,0.30600000000000005,-999.0
N5824,225.9943,-33.0685,31.710274389478915,-9.106,0.0045198310075924755,GC,-26.736,2.834,1,8.38,1.9250000000000007,2.8629999999999995,-999.0
