Name,RA,Dec,Dist,M_V,R_eff_kpc,Type,vhel,vhelerr,resolve,sigma,serr_low,serr_up,serr_95
Aqr3,357.22,-3.49,85.51,-2.5,0.05165,G,-13.162,0.967,0,-999.0,-999.0,-999.0,3.651
Boo1,210.0200348,14.5135002,66.37,-6.02,0.19224000000000002,G,101.853,0.486,1,3.188,0.41100000000000003,0.48299999999999965,-999.0
Boo2,209.5141296,12.855278,41.69,-2.94,0.03825,G,-128.416,0.705,1,1.924,0.6039999999999999,0.77,-999.0
Boo3,209.3,26.8,46.56,-5.74,0.5480499999999999,G,189.946,1.824,1,5.268,1.6709999999999998,2.1000000000000005,-999.0
CB,186.7454224,23.9069176,42.27,-4.29,0.06914000000000001,G,93.545,0.622,1,3.328,0.45799999999999974,0.5760000000000001,-999.0
CVn1,202.009079,33.5520821,210.86,-8.73,0.43617,G,30.538,0.576,1,7.664,0.4109999999999996,0.4429999999999996,-999.0
CVn2,194.2926636,34.3226395,159.96,-5.17,0.07033,G,-131.75,1.241,1,5.278,0.9649999999999999,1.2540000000000004,-999.0
Dra,260.0684509,57.9184723,81.55,-8.87,0.22924,G,-292.23,0.319,1,9.546,0.24799999999999933,0.25900000000000034,-999.0
Dra2,238.2,64.57,21.58,-0.8,0.018699999999999998,G,-342.28,0.698,0,-999.0,-999.0,-999.0,2.637
Eri,66.18533,-21.1875553,84.68,-5.42,0.01575,GC,-18.398,0.301,0,-999.0,-999.0,-999.0,0.887
Eri4,76.438,-9.515,69.82,-3.55,0.06533,G,-34.35,1.267,1,4.546,0.8860000000000001,1.146,-999.0
For,39.9583359,-34.4997215,142.56,-13.39,0.82516,G,53.862,0.465,1,11.713,0.3309999999999995,0.3570000000000011,-999.0
Herc,247.7722015,12.7851944,130.62,-5.81,0.21309,G,45.257,0.556,1,2.249,0.6080000000000001,0.6699999999999999,-999.0
Hyd2,185.4251251,-31.9860287,151.36,-5.1,0.06638,G,304.407,1.092,0,-999.0,-999.0,-999.0,4.109
